username,nome,pais,idioma,tipo,seguidores_estimados,descricao,fonte
@professormerson,Prof Merson,Brasil,Inglês,Professor de idioma,Desconhecido,"Criador do método SALR (See Ask Listen Repeat), curso Do Zero à Fluência com 9k+ alunos",https://intercambioeviagem.com.br/aprender-idioma/ingles/professores/melhores-youtube-instagram/
@teacherpaulagabriela,Teacher Paula Gabriela,Brasil,Inglês,Professor de idioma,Desconhecido,"Reels e stories com vocabulário, gramática e expressões do cotidiano",https://intercambioeviagem.com.br/aprender-idioma/ingles/professores/melhores-youtube-instagram/
@gustavodenoronha,Gustavo de Noronha,EUA,Inglês,Ambos,~49.6k,"Ensina inglês 'na vida real', já treinou 500+ alunos, método acelerando no inglês",https://www.tiosam.com/estados-unidos/youtube-conheca-os-influenciadores-que-se-destacam-na-comunidade-brasileira-nos-eua/
@mari.talks,Mariana Cardoso,Brasil,Inglês,Professor de idioma,Desconhecido,"Inglês simples e descomplicado, live toda segunda com professores convidados",https://guiadoestudante.abril.com.br/estudo/10-perfis-no-instagram-para-aprender-ingles/
@inglesdaluiza,Inglês da Luiza,Brasil,Inglês,Professor de idioma,Desconhecido,"Vocabulário e gramática com posts coloridos e ilustrativos, dicas de pronúncia no IGTV",https://guiadoestudante.abril.com.br/estudo/10-perfis-no-instagram-para-aprender-ingles/
@ingles.inteligente,Inglês Inteligente,Brasil,Inglês,Professor de idioma,Desconhecido,"Dicas de vocabulário e gramática diretas ao ponto, perguntas-desafio nos comentários",https://guiadoestudante.abril.com.br/estudo/10-perfis-no-instagram-para-aprender-ingles/
@english_teacher_aura,Aura Azzolini,Brasil,Inglês,Professor de idioma,Desconhecido,"20+ anos ensinando, tradutora; posts como apostila compartilhada diariamente",https://guiadoestudante.abril.com.br/estudo/10-perfis-no-instagram-para-aprender-ingles/
@inglessemsairdecasa,Inglês Sem Sair de Casa,Brasil,Inglês,Professor de idioma,Desconhecido,"Vocabulário e expressões do cotidiano, posts diários de rápida assimilação",https://guiadoestudante.abril.com.br/estudo/10-perfis-no-instagram-para-aprender-ingles/
@ingles.da.depressao,Inglês da Depressão,Brasil,Inglês,Professor de idioma,Desconhecido,"Humor + inglês, memes que ensinam vocabulário de forma leve e divertida",https://guiadoestudante.abril.com.br/estudo/10-perfis-no-instagram-para-aprender-ingles/
@teacherfernando,Teacher Fernando,Brasil,Inglês,Professor de idioma,Desconhecido,"Professor de inglês desde 1999, metodologia para todas as idades",https://intercambioeviagem.com.br/aprender-idioma/ingles/professores/melhores-youtube-instagram/
@gemelasdeingles,Gêmeas do Inglês (Bianca e Giovana),Brasil,Inglês,Professor de idioma,Desconhecido,"Dupla de irmãs professoras, didática clara e muito carisma",https://estudarlaeca.com.br/professores-online-instagram-youtube/
@ingleswinner,Paulo Barros - Inglês Winner,Brasil,Inglês,Professor de idioma,Desconhecido,"Método próprio de ensino de inglês com canal no YouTube e Instagram",https://aprendafalaringles.com.br/instagram-para-aprender-ingles/
@escoladealemao,Fernanda Maldonado - Escola de Alemão,Brasil,Alemão,Professor de idioma,Desconhecido,"Dicas de alemão para brasileiros que querem aprender o idioma",https://hridiomas.com/aprenda-idiomas-tambem-no-instagram/
@analauragiaretta,Ana Laura Giaretta,Brasil,Múltiplos idiomas,Professor de idioma,Desconhecido,"Dicas de vários idiomas para brasileiros, conteúdo multilíngue",https://hridiomas.com/aprenda-idiomas-tambem-no-instagram/
@jplinguistics,JP Linguistics,Brasil,Francês/Italiano/Espanhol,Professor de idioma,Desconhecido,"Dicas de francês, italiano e espanhol para brasileiros",https://hridiomas.com/aprenda-idiomas-tambem-no-instagram/
@diariodeumpoliglota,Diário de um Políglota,Brasil,Múltiplos idiomas,Professor de idioma,Desconhecido,"Conteúdo sobre aprender vários idiomas, dicas de poliglotismo",https://hridiomas.com/aprenda-idiomas-tambem-no-instagram/
@allinefeitosa,Alline Feitosa,Canadá (Toronto),Inglês,Brasileiro no exterior,Desconhecido,"Brasileira em Toronto, dicas de visto, custo de vida e oportunidades no Canadá",https://www.naoobvio.com/index.php/2020/03/20/5-perfis-de-brasileiros-que-mostram-a-vida-em-outros-paises/
@lorraynemavromatis,Lorrayne Mavromatis,EUA,Inglês,Brasileiro no exterior,Desconhecido,"Brasileira nos EUA, fotografia, vida com marido médico, viagens e beleza",https://www.naoobvio.com/index.php/2020/03/20/5-perfis-de-brasileiros-que-mostram-a-vida-em-outros-paises/
@emille,Emille Gomes Rosa,Irlanda (Dublin),Inglês,Brasileiro no exterior,Desconhecido,"Fotógrafa brasileira em Dublin, trabalha para viajar, mostra a realidade do exterior",https://www.naoobvio.com/index.php/2020/03/20/5-perfis-de-brasileiros-que-mostram-a-vida-em-outros-paises/
@apureguria,Ângela Sant'Anna,Reino Unido,Inglês,Brasileiro no exterior,Desconhecido,"Nômade, 40+ países, já morou em NZ e Alemanha, dicas de viagem econômica",https://www.naoobvio.com/index.php/2020/03/20/5-perfis-de-brasileiros-que-mostram-a-vida-em-outros-paises/
@mundi360,Mundi 360 - Alessandra e Leonardo,Múltiplos países,Espanhol/Inglês,Ambos,Desconhecido,"Casal curitibano percorrendo o mundo em Land Rover Defender adaptada",https://www.naoobvio.com/index.php/2020/03/20/5-perfis-de-brasileiros-que-mostram-a-vida-em-outros-paises/
@lucas.ocastilho,Lucas Castilho,EUA (Boston),Inglês,Brasileiro no exterior,~12.8k,"YouTuber com dicas de ouro sobre como morar nos EUA, vida em Boston",https://www.tiosam.com/estados-unidos/youtube-conheca-os-influenciadores-que-se-destacam-na-comunidade-brasileira-nos-eua/
@elltondavel,Elton Davel,EUA (Boston),Inglês,Brasileiro no exterior,~19.4k,"Diretor de criação, cineasta e fotógrafo brasileiro em Boston",https://www.tiosam.com/estados-unidos/youtube-conheca-os-influenciadores-que-se-destacam-na-comunidade-brasileira-nos-eua/
@juliana_lobo,Juliana Lobo,EUA (Boston),Inglês,Brasileiro no exterior,Desconhecido,"CEO da Alcateia Agency, conteúdo sobre criatividade e empoderamento feminino",https://www.tiosam.com/estados-unidos/youtube-conheca-os-influenciadores-que-se-destacam-na-comunidade-brasileira-nos-eua/
